MA_100107g0010.1
MA_10020g0010.1
MA_10031049g0010.1
MA_100380g0010.1
MA_10040460g0010.1
MA_10054525g0010.1
MA_100558g0010.1
MA_10059537g0010.1
MA_10066818g0010.1
MA_10081922g0010.1
MA_100845g0010.1
MA_10089336g0010.1
MA_10090427g0010.1
MA_100910g0020.1
MA_10091529g0010.1
MA_10092g0010.1
MA_10097186g0010.1
MA_100985g0010.1
MA_101107g0010.1
MA_10123473g0010.1
MA_101256g0010.1
MA_10126g0010.1
MA_10142298g0010.1
MA_10143217g0010.1
MA_10148174g0010.1
MA_10154577g0010.1
MA_10159381g0010.1
MA_101621g0010.1
MA_101621g0020.1
MA_101646g0010.1
MA_101658g0010.1
MA_10168001g0010.1
MA_10171437g0010.1
MA_10174788g0010.1
MA_101855g0010.1
MA_101861g0010.1
MA_101930g0010.1
MA_10197498g0010.1
MA_10197891g0010.1
MA_10200977g0010.1
MA_102057g0010.1
MA_10221600g0010.1
MA_10222942g0010.1
MA_10231220g0010.1
MA_10236907g0010.1
MA_10239006g0010.1
MA_10249251g0010.1
MA_10249g0010.1
MA_10250686g0010.1
MA_10254697g0010.1
MA_10256834g0010.1
MA_10258501g0010.1
MA_10260994g0010.1
MA_10263488g0010.1
MA_10265423g0010.1
MA_10265574g0010.1
MA_10268298g0010.1
MA_102699g0010.1
MA_102702g0010.1
MA_10271g0010.1
MA_10274735g0010.1
MA_10274735g0020.1
MA_10285593g0010.1
MA_10287740g0010.1
MA_10289256g0010.1
MA_10294942g0010.1
MA_10308598g0010.1
MA_10313519g0010.1
MA_103143g0020.1
MA_103160g0010.1
MA_10325280g0010.1
MA_10335576g0010.1
MA_10338362g0010.1
MA_10338837g0010.1
MA_10349490g0010.1
MA_10354140g0010.1
MA_103578g0010.1
MA_10359231g0020.1
MA_103629g0010.1
MA_10363764g0010.1
MA_10363858g0010.1
MA_10366675g0010.1
MA_103666g0020.1
MA_104021g0010.1
MA_104138g0010.1
MA_10425780g0010.1
MA_10425833g0010.1
MA_10425881g0040.1
MA_10425884g0010.1
MA_10425884g0020.1
MA_10425885g0010.1
MA_10425963g0010.1
MA_10426033g0010.1
MA_10426064g0010.1
MA_10426082g0010.1
MA_10426119g0010.1
MA_10426147g0010.1
MA_10426154g0010.1
MA_10426304g0010.1
MA_10426346g0010.1
MA_10426355g0010.1
MA_10426380g0010.1
MA_10426448g0010.1
MA_10426590g0010.1
MA_10426593g0010.1
MA_10426614g0020.1
MA_10426653g0010.1
MA_10426653g0020.1
MA_10426681g0010.1
MA_10426784g0020.1
MA_10426822g0010.1
MA_10426909g0010.1
MA_10426909g0020.1
MA_10426941g0010.1
MA_10426944g0020.1
MA_10427035g0010.1
MA_10427144g0010.1
MA_10427144g0020.1
MA_10427187g0010.1
MA_10427229g0010.1
MA_10427255g0010.1
MA_10427269g0010.1
MA_10427282g0010.1
MA_10427283g0030.1
MA_10427365g0010.1
MA_10427420g0010.1
MA_10427464g0020.1
MA_10427522g0010.1
MA_10427540g0030.1
MA_10427542g0010.1
MA_10427577g0010.1
MA_10427625g0010.1
MA_10427678g0010.1
MA_10427716g0020.1
MA_10427811g0010.1
MA_10427889g0020.1
MA_10427897g0010.1
MA_10427910g0010.1
MA_10427929g0010.1
MA_10427934g0010.1
MA_10427996g0010.1
MA_10428011g0010.1
MA_10428085g0010.1
MA_10428213g0010.1
MA_10428235g0010.1
MA_10428235g0020.1
MA_10428272g0010.1
MA_10428360g0010.1
MA_10428445g0020.1
MA_10428464g0010.1
MA_10428517g0020.1
