Complete_SciLifeID;SciLifeID;Number;Complete_number;Alternative_number;ID;Biol_repl_ID;Sex;Type;Sampling;Tree;Batch
2_150115_BC6L4PANXX_P1387_120;P1387_120;;;2_150115_BC6L4PANXX;V5-10-08;V-10-08;V;WT;08-Oct;5;1
2_150115_BC6L4PANXX_P1387_121;P1387_121;;;2_150115_BC6L4PANXX;F5-10-08;F-10-08;F;WT;08-Oct;5;1
2_150115_BC6L4PANXX_P1387_122;P1387_122;;;2_150115_BC6L4PANXX;F3-09-12;F-09-12;F;WT;12-Sep;3;1
2_150115_BC6L4PANXX_P1387_123;P1387_123;;;2_150115_BC6L4PANXX;V3-10-08;V-10-08;V;WT;08-Oct;3;1
2_150115_BC6L4PANXX_P1387_124;P1387_124;;;2_150115_BC6L4PANXX;V2-10-08;V-10-08;V;WT;08-Oct;2;1
2_150115_BC6L4PANXX_P1387_125;P1387_125;;;2_150115_BC6L4PANXX;V1-10-08;V-10-08;V;WT;08-Oct;1;1
totRNA-10_S33_L004;totRNA-10;S33;S33_L004;;M7-04-29;M-04-29;M;WT;29-Apr;7;2
totRNA-14_S31_L004;totRNA-14;S31;S31_L004;;F3-08-18;F-08-18;F;WT;18-Aug;3;2
totRNA-15_S29_L004;totRNA-15;S29;S29_L004;;V1-08-18;V-08-18;V;WT;18-Aug;1;2
totRNA-16_S30_L004;totRNA-16;S30;S30_L004;;M3-08-18;M-08-18;M;WT;18-Aug;3;2
totRNA-17_S28_L004;totRNA-17;S28;S28_L004;;F1-08-18;F-08-18;F;WT;18-Aug;1;2
totRNA-18_S32_L004;totRNA-18;S32;S32_L004;;V3-08-18;V-08-18;V;WT;18-Aug;3;2
totRNA-2_S35_L004;totRNA-2;S35;S35_L004;;V7-04-29;V-04-29;V;WT;29-Apr;7;2
totRNA-33_S39_L004;totRNA-33;S39;S39_L004;;M1-04-10;M-04-10;M;WT;10-Apr;1;2
totRNA-34_S36_L004;totRNA-34;S36;S36_L004;;O7-06-11;O-06-11;O;WT;11-Jun;7;2
totRNA-35_S37_L004;totRNA-35;S37;S37_L004;;S7-06-11;S-06-11;S;WT;11-Jun;7;2
totRNA-40_S38_L004;totRNA-40;S38;S38_L004;;P7-05-12;P-05-12;P;WT;12-May;7;2
totRNA-47_S27_L004;totRNA-47;S27;S27_L004;;M1-08-18;M-08-18;M;WT;18-Aug;1;2
totRNA-48_S34_L004;totRNA-48;S34;S34_L004;;F7-04-29;F-04-29;F;WT;29-Apr;7;2
totRNA-49_S40_L004;totRNA-49;S40;S40_L004;;F1-04-10;F-04-10;F;WT;10-Apr;1;2
totRNA-50_S41_L004;totRNA-50;S41;S41_L004;;V1-04-10;V-04-10;V;WT;10-Apr;1;2
A1_S1_L001;A1;S1;S1_L001;;F1a-08-01;F-08-01;F;WT;01-Aug;1;3
A2_S2_L001;A2;S2;S2_L001;;F1b-08-01;F-08-01;F;WT;01-Aug;1;3
A3_S3_L001;A3;S3;S3_L001;;F1c-08-01;F-08-01;F;WT;01-Aug;1;3
A4_S4_L001;A4;S4;S4_L001;;VL1a-08-01;VL-08-01;VL;WT;01-Aug;1;3
A5_S5_L001;A5;S5;S5_L001;;VL1b-08-01;VL-08-01;VL;WT;01-Aug;1;3
A6_S6_L001;A6;S6;S6_L001;;VL1c-08-01;VL-08-01;VL;WT;01-Aug;1;3
A7_S7_L001;A7;S7;S7_L001;;TL1a -08-01;TL -08-01;TL;A;01-Aug;1;3
A8_S8_L001;A8;S8;S8_L001;;TL1b -08-01;TL -08-01;TL;A;01-Aug;1;3
A9_S9_L001;A9;S9;S9_L001;;TL1c -08-01;TL -08-01;TL;A;01-Aug;1;3
A9_S1_L001;A9;S1;S1_L001;;TL1c -08-01;TL -08-01;TL;A;01-Aug;1;4
A10_S10_L001;A10;S10;S10_L001;;TA1a-10-18;TA-10-18;T;A;18-Oct;1;3
A10_S2_L001;A10;S2;S2_L001;;TA1a-10-18;TA-10-18;T;A;18-Oct;1;4
A11_S11_L001;A11;S11;S11_L001;;TA1b-10-18;TA-10-18;T;A;18-Oct;1;3
