SciLife_Sample_ID;Sample_name;ID;Biol_repl_ID;Sex;Type;Sampling;Tree;Batch;;Location_of_data
smallRNA-16;smallRNA-16;M3-08-18;M-08-18;M;WT;18-Aug;3;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-17;smallRNA-17;F1-08-18;F-08-18;F;WT;18-Aug;1;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-18;smallRNA-18;V3-08-18;V-08-18;V;WT;18-Aug;3;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-2;smallRNA-2;V7-04-29;V-04-29;V;WT;29-Apr;7;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-33;smallRNA-33;M1-04-10;M-04-10;M;WT;10-Apr;1;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-34;smallRNA-34;O7-06-11;O-06-11;O;WT;11-Jun;7;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-35;smallRNA-35;S7-06-11;S-06-11;S;WT;11-Jun;7;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-40;smallRNA-40;P7-05-12;P-05-12;P;WT;12-May;7;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-47;smallRNA-47;M1-08-18;M-08-18;M;WT;18-Aug;1;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-48;smallRNA-48;F7-04-29;F-04-29;F;WT;29-Apr;7;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-49;smallRNA-49;F1-04-10;F-04-10;F;WT;10-Apr;1;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
smallRNA-50;smallRNA-50;V1-04-10;V-04-10;V;WT;10-Apr;1;2;;/proj/b2015052/seq_data/raw/160826_D00458_0160_BC9N4VANXX/
P7809_101;A1;F1a-08-01;F-08-01;F;WT;01-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_102;A2;F1b-08-01;F-08-01;F;WT;01-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_103;A3;F1c-08-01;F-08-01;F;WT;01-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_104;A4;VL1a-08-01;VL-08-01;VL;WT;01-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_105;A5;VL1b-08-01;VL-08-01;VL;WT;01-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_106;A6;VL1c-08-01;VL-08-01;VL;WT;01-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_107;A16;F1a-08-19;F-08-19;F;WT;19-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_108;A17;F1b-08-19;F-08-19;F;WT;19-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_109;A18;F1c-08-19;F-08-19;F;WT;19-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_110;A19;VL1a-08-19;VL-08-19;VL;WT;19-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_111;A20;VL1b-08-19;VL-08-19;VL;WT;19-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_112;A21;VL1c-08-19;VL-08-19;VL;WT;19-Aug;1;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_113;B23;M8-04-29;M-04-29;M;WT;29-Apr;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_114;B24;F8-04-29;F-04-29;F;WT;29-Apr;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_115;B8;V8-04-29;V-04-29;V;WT;29-Apr;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_116;B26;M9-04-29;M-04-29;M;WT;29-Apr;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_117;B22;F9-04-29;F-04-29;F;WT;29-Apr;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_118;B5;V9-04-29;V-04-29;V;WT;29-Apr;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_119;B36;O8-06-11;O-06-11;O;WT;11-Jun;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_120;B37;S8-06-11;S-06-11;S;WT;11-Jun;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_121;B38;O9-06-11;O-06-11;O;WT;11-Jun;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_122;B39;S9-06-11;S-06-11;S;WT;11-Jun;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_123;B41;P8-05-12;P-05-12;P;WT;12-May;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_124;B42;P9-05-12;P-05-12;P;WT;12-May;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_125;B32;M8-04-10;M-04-10;M;WT;10-Apr;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_126;B30;F8-04-10;F-04-10;F;WT;10-Apr;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_127;B51;V8-04-10;V-04-10;V;WT;10-Apr;8;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_128;B28;M9-04-10;M-04-10;M;WT;10-Apr;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_129;B27;F9-04-10;F-04-10;F;WT;10-Apr;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
P7809_130;B7;V9-04-10;V-04-10;V;WT;10-Apr;9;3;;/proj/b2015052/INBOX/J.Sundstrom_17_01-P7809
